song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
Half Alive,Secondhand Serenade,0.381,0.517,-4.367,0.0331,0.755,0.0,0.198,0.511,85.192,6hGD5xABwomCU4579IM95c,221480,R,1
Everything,Kaskade,0.65,0.944,-5.894,0.0353,0.000283,0.678,0.06,0.934,127.992,0BQ2gVR90bx0Td1TNCgheA,468307,R,6
Awake,Angels Of Light & Akron/Family,0.382,0.0365,-18.34,0.0367,0.961,0.0704,0.114,0.0398,128.321,7dQHGCyBqtNJtOm6TvZT7i,150333,R,1
Aerodynamic (Slum Village Remix),Daft Punk,0.785,0.569,-6.198,0.176,0.031,0.178,0.138,0.768,94.801,5rKOHcpjxzJUS3V36J8AxH,217920,R,7
Bad Moon Rising,Creedence Clearwater Revival,0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,20OFwXhEXf12DzwXmaV7fj,141600,R,0
Poison Lips,Vitalic,0.628,0.918,-5.08,0.0411,0.00032,0.66,0.103,0.508,126.32,1NJ1jm3uNRrF4JZHpaX1CD,234240,R,3
Bratislava,Beirut,0.468,0.966,-4.274,0.156,0.857,0.808,0.243,0.0602,112.512,4NABQID0BEq2OvRgkXUgoH,197333,R,3
La Raya,Maldita Nerea,0.633,0.723,-8.136,0.0314,0.228,0.0,0.176,0.717,88.015,3fLrbz2LmsXUGzjcMJdS6y,243133,R,7
Miss Sarajevo,U2,0.502,0.454,-7.774,0.0333,0.424,0.0,0.986,0.0728,102.0,0qeCBSjI2DE44VWT4lew2G,421240,R,2
Dímelo,Enrique Iglesias,0.783,0.737,-4.432,0.0413,0.0608,0.0,0.0382,0.849,114.994,2z0z5ddJS3K7qvhp4PH0Aa,217933,R,7
Music Box,Eminem,0.635,0.712,-5.151,0.11,0.0131,0.0,0.187,0.458,78.598,1PokNDiTBQZgXci6rn2BVE,304907,R,8
Who Is Watching,Armin van Buuren feat. Nadia Ali,0.525,0.673,-11.036,0.0281,0.000254,0.13,0.114,0.259,134.002,74Xe15bvWQsgfX7oVwZ9Tw,222544,R,8
Cyborg,M83,0.505,0.752,-4.847,0.0415,0.00253,0.0488,0.103,0.0555,119.924,2zHLZdGaOnk7A6CdZaVA1R,228133,R,8
Schießt die Deutschen raus,Mario Lang,0.507,0.675,-5.776,0.0419,0.0403,0.0,0.14,0.633,162.093,4tNqWPQWWCpyCev7ocI8zF,148053,R,0
