song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Autobiography,Ashlee Simpson,0.577,0.757,9,-3.718,1,0.0354,0.0029,7.64e-06,0.104,0.589,129.906,audio_features,7K6F7WCLsJgvXnxzpxW4b4,spotify:track:7K6F7WCLsJgvXnxzpxW4b4,https://api.spotify.com/v1/tracks/7K6F7WCLsJgvXnxzpxW4b4,https://api.spotify.com/v1/audio-analysis/7K6F7WCLsJgvXnxzpxW4b4,214467,4
Fashion,Lady GaGa,0.606,0.799,4,-4.737,0,0.0485,0.00286,0,0.118,0.501,116.991,audio_features,2I5tTeFL69KZCiO0YYoql7,spotify:track:2I5tTeFL69KZCiO0YYoql7,https://api.spotify.com/v1/tracks/2I5tTeFL69KZCiO0YYoql7,https://api.spotify.com/v1/audio-analysis/2I5tTeFL69KZCiO0YYoql7,239853,4
Hands And Feet,Audio Adrenaline,0.515,0.943,2,-4.541,1,0.0638,0.0166,0,0.347,0.559,98.946,audio_features,6o0ScYentB1u59uQVz8dCI,spotify:track:6o0ScYentB1u59uQVz8dCI,https://api.spotify.com/v1/tracks/6o0ScYentB1u59uQVz8dCI,https://api.spotify.com/v1/audio-analysis/6o0ScYentB1u59uQVz8dCI,248293,4
All Fall Down,OneRepublic,0.502,0.816,7,-4.826,1,0.03,0.241,0,0.107,0.419,92.512,audio_features,1zjJg21AG4sXU9wzbQnQiQ,spotify:track:1zjJg21AG4sXU9wzbQnQiQ,https://api.spotify.com/v1/tracks/1zjJg21AG4sXU9wzbQnQiQ,https://api.spotify.com/v1/audio-analysis/1zjJg21AG4sXU9wzbQnQiQ,244440,4
War Pigs,Cake,0.581,0.566,5,-8.169,0,0.0357,0.00698,2.93e-06,0.0968,0.449,83.904,audio_features,5Cg6S5BXG6lXqjijSK9zFh,spotify:track:5Cg6S5BXG6lXqjijSK9zFh,https://api.spotify.com/v1/tracks/5Cg6S5BXG6lXqjijSK9zFh,https://api.spotify.com/v1/audio-analysis/5Cg6S5BXG6lXqjijSK9zFh,234013,4
Music Of The Sun,Rihanna,0.535,0.643,0,-8.182,1,0.155,0.112,0,0.281,0.632,171.884,audio_features,3vPkkIsaQ5NqOqvj7Ht8kR,spotify:track:3vPkkIsaQ5NqOqvj7Ht8kR,https://api.spotify.com/v1/tracks/3vPkkIsaQ5NqOqvj7Ht8kR,https://api.spotify.com/v1/audio-analysis/3vPkkIsaQ5NqOqvj7Ht8kR,236027,4
Be (Intro),Common,0.619,0.755,7,-8.439,0,0.0918,0.225,0,0.468,0.191,93.703,audio_features,11aFVmFy8903RwDx4ohQiq,spotify:track:11aFVmFy8903RwDx4ohQiq,https://api.spotify.com/v1/tracks/11aFVmFy8903RwDx4ohQiq,https://api.spotify.com/v1/audio-analysis/11aFVmFy8903RwDx4ohQiq,144200,4
Dance Me To The End Of Love,Leonard Cohen,0.588,0.38,7,-11.879,0,0.0251,0.269,8.36e-06,0.0741,0.502,132.885,audio_features,3mFzIFFFmEXTQs6BDAK2ZZ,spotify:track:3mFzIFFFmEXTQs6BDAK2ZZ,https://api.spotify.com/v1/tracks/3mFzIFFFmEXTQs6BDAK2ZZ,https://api.spotify.com/v1/audio-analysis/3mFzIFFFmEXTQs6BDAK2ZZ,280627,4
Primary,The Cure,0.496,0.89,9,-7.461,1,0.051,0.0185,0.254,0.738,0.898,171.442,audio_features,6nm0hSPGUOJGSBcLeDlgFT,spotify:track:6nm0hSPGUOJGSBcLeDlgFT,https://api.spotify.com/v1/tracks/6nm0hSPGUOJGSBcLeDlgFT,https://api.spotify.com/v1/audio-analysis/6nm0hSPGUOJGSBcLeDlgFT,219533,4
Captains and Cruise Ships,Owl City,0.673,0.495,7,-8.299,1,0.0328,0.442,0,0.0506,0.91,62.647,audio_features,4wVURZ53jU7NJIWKTuVrrq,spotify:track:4wVURZ53jU7NJIWKTuVrrq,https://api.spotify.com/v1/tracks/4wVURZ53jU7NJIWKTuVrrq,https://api.spotify.com/v1/audio-analysis/4wVURZ53jU7NJIWKTuVrrq,208640,4
